"POINTID","NUTS_0_2018","NUTS_1_2018","NUTS_2_2018","NUTS_3_2018","geometry"
28301966,"PT","PT1","PT18","PT186",c(-7.337607748, 39.24563187)
28302038,"PT","PT1","PT16","PT16H",c(-7.510702407, 39.87853079)
28302110,"PT","PT1","PT16","PT16J",c(-7.688560002, 40.51049372)
28302282,"PT","PT1","PT11","PT111",c(-8.133780206, 42.01639763)
28302314,"ES","ES1","ES11","ES113",c(-8.219928222, 42.29597632)
28321740,"ES","ES6","ES61","ES615",c(-6.801402786, 37.25688502)
28321780,"ES","ES6","ES61","ES615",c(-6.889220889, 37.61027857)
28321802,"ES","ES6","ES61","ES615",c(-6.938071168, 37.8045204)
28321934,"PT","PT1","PT18","PT186",c(-7.239633354, 38.9681224)
28321960,"PT","PT1","PT18","PT186",c(-7.300792091, 39.19694439)
28322046,"PT","PT1","PT16","PT16H",c(-7.507380815, 39.95294733)
28322176,"PT","PT1","PT11","PT11D",c(-7.832701865, 41.09321193)
28322234,"PT","PT1","PT11","PT119",c(-7.983146225, 41.60096343)
28322384,"ES","ES1","ES11","ES111",c(-8.38830372, 42.91129856)
28322424,"ES","ES1","ES11","ES111",c(-8.500435638, 43.26003306)
28341822,"ES","ES6","ES61","ES615",c(-6.960598744, 37.98503262)
28341858,"ES","ES4","ES43","ES431",c(-7.041890965, 38.30258349)
28342236,"PT","PT1","PT11","PT11B",c(-7.964980681, 41.62273819)
28342404,"ES","ES1","ES11","ES111",c(-8.420203055, 43.09010229)
28361748,"ES","ES6","ES61","ES615",c(-6.774803194, 37.33550426)
28361824,"ES","ES6","ES61","ES615",c(-6.94285404, 38.00668189)
28361986,"PT","PT1","PT18","PT186",c(-7.317192334, 39.43385456)
28362030,"PT","PT1","PT16","PT16H",c(-7.422832378, 39.82066416)
28362076,"PT","PT1","PT16","PT16J",c(-7.53516306, 40.22468379)
28362148,"PT","PT1","PT16","PT16G",c(-7.714967797, 40.85629928)
28362166,"PT","PT1","PT11","PT11D",c(-7.760696018, 41.01405771)
28362220,"PT","PT1","PT11","PT11B",c(-7.899791819, 41.48698393)
28362282,"ES","ES1","ES11","ES113",c(-8.063112139, 42.02932715)
28362360,"ES","ES1","ES11","ES114",c(-8.274261006, 42.71064701)
28362378,"ES","ES1","ES11","ES111",c(-8.323911903, 42.8677188)
28362414,"ES","ES1","ES11","ES111",c(-8.42427799, 43.18168656)
28381990,"ES","ES4","ES43","ES432",c(-7.304031323, 39.47313329)
28382062,"PT","PT1","PT16","PT16J",c(-7.47786928, 40.10590839)
28382100,"PT","PT1","PT16","PT16J",c(-7.571541371, 40.4394979)
