"POINTID","NUTS_0_2018","NUTS_1_2018","NUTS_2_2018","NUTS_3_2018"
50102730,"HU","HU1","HU12","HU120"
50102734,"HU","HU1","HU12","HU120"
50102888,"SK","SK0","SK03","SK032"
50102914,"SK","SK0","SK03","SK031"
50102928,"SK","SK0","SK03","SK031"
50103068,"PL","PL2","PL21","PL21A"
50103184,"PL","PL7","PL71","PL713"
50103238,"PL","PL7","PL71","PL715"
50103248,"PL","PL7","PL71","PL715"
50104224,"FI","FI1","FI1C","FI1C1"
50104242,"FI","FI1","FI1C","FI1C1"
50104264,"FI","FI1","FI1C","FI1C1"
50104274,"FI","FI1","FI19","FI196"
50104278,"FI","FI1","FI19","FI196"
50104318,"FI","FI1","FI19","FI197"
50104534,"FI","FI1","FI19","FI194"
50104670,"FI","FI1","FI1D","FI1D9"
50121918,"IT","ITF","ITF4","ITF45"
50121954,"IT","ITF","ITF4","ITF45"
50123124,"PL","PL7","PL72","PL722"
50123484,"PL","PL6","PL62","PL622"
50123764,"LV","LV0","LV00","LV003"
50123782,"LV","LV0","LV00","LV003"
50124194,"FI","FI1","FI1C","FI1C1"
50124366,"FI","FI1","FI19","FI197"
50124636,"FI","FI1","FI1D","FI1D9"
50124834,"FI","FI1","FI1D","FI1D7"
50141928,"IT","ITF","ITF4","ITF45"
50141940,"IT","ITF","ITF4","ITF45"
50142760,"HU","HU1","HU12","HU120"
50142882,"SK","SK0","SK03","SK032"
50142940,"SK","SK0","SK03","SK031"
50142958,"SK","SK0","SK03","SK031"
50143092,"PL","PL2","PL22","PL22B"
50143110,"PL","PL2","PL22","PL22B"
50143134,"PL","PL7","PL72","PL722"
50143146,"PL","PL7","PL72","PL722"
50143152,"PL","PL7","PL71","PL713"
50143296,"PL","PL9","PL92","PL926"
50143314,"PL","PL9","PL92","PL922"
50143404,"PL","PL6","PL62","PL622"
50143498,"PL","PL6","PL62","PL622"
50143512,"PL","PL6","PL62","PL622"
50143726,"LV","LV0","LV00","LV003"
50144222,"FI","FI1","FI1C","FI1C1"
50144226,"FI","FI1","FI1C","FI1C1"
50144242,"FI","FI1","FI1C","FI1C1"
50144640,"FI","FI1","FI1D","FI1D9"
50144658,"FI","FI1","FI1D","FI1D9"
50162668,"HU","HU3","HU33","HU331"
50162836,"SK","SK0","SK03","SK032"
50162998,"PL","PL2","PL21","PL219"
50163222,"PL","PL7","PL71","PL713"
50163244,"PL","PL7","PL71","PL715"
50163250,"PL","PL7","PL71","PL715"
50163358,"PL","PL9","PL92","PL922"
50163370,"PL","PL9","PL92","PL922"
50163692,"LT","LT0","LT02","LT023"
50163796,"LV","LV0","LV00","LV003"
50163836,"LV","LV0","LV00","LV003"
50164234,"FI","FI1","FI1C","FI1C1"
50164284,"FI","FI1","FI19","FI196"
50164494,"FI","FI1","FI19","FI194"
50164518,"FI","FI1","FI19","FI194"
50164564,"FI","FI1","FI1D","FI1D5"
50164594,"FI","FI1","FI1D","FI1D5"
50164810,"FI","FI1","FI1D","FI1D7"
50164936,"FI","FI1","FI1D","FI1D7"
50164954,"FI","FI1","FI1D","FI1D7"
50165062,"FI","FI1","FI1D","FI1D7"
50183044,"PL","PL2","PL21","PL214"
50183184,"PL","PL7","PL71","PL713"
50183224,"PL","PL7","PL71","PL713"
50183292,"PL","PL9","PL92","PL926"
50183332,"PL","PL9","PL92","PL922"
50183494,"PL","PL6","PL62","PL622"
50183772,"LV","LV0","LV00","LV003"
50184210,"FI","FI1","FI1C","FI1C1"
50184236,"FI","FI1","FI1C","FI1C1"
50184304,"FI","FI1","FI19","FI197"
50184484,"FI","FI1","FI19","FI194"
50184520,"FI","FI1","FI19","FI194"
50184570,"FI","FI1","FI1D","FI1D5"
50202690,"HU","HU3","HU33","HU331"
50202816,"HU","HU3","HU31","HU313"
50202892,"SK","SK0","SK03","SK032"
50203270,"PL","PL7","PL71","PL715"
50203276,"PL","PL9","PL92","PL926"
50203342,"PL","PL9","PL92","PL922"
50203822,"LV","LV0","LV00","LV003"
50203858,"LV","LV0","LV00","LV003"
50204184,"FI","FI1","FI1C","FI1C1"
50204242,"FI","FI1","FI1C","FI1C1"
50204296,"FI","FI1","FI19","FI197"
50204400,"FI","FI1","FI19","FI197"
50204418,"FI","FI1","FI19","FI197"
50204476,"FI","FI1","FI19","FI194"
50205196,"FI","FI1","FI1D","FI1D7"
50222584,"HU","HU3","HU33","HU331"
50222920,"SK","SK0","SK03","SK031"
50223106,"PL","PL7","PL72","PL722"
50223854,"LV","LV0","LV00","LV003"
50224262,"FI","FI1","FI1C","FI1C1"
50224370,"FI","FI1","FI19","FI197"
50224522,"FI","FI1","FI19","FI194"
50224612,"FI","FI1","FI1D","FI1D9"
50224684,"FI","FI1","FI1D","FI1D9"
50224906,"FI","FI1","FI1D","FI1D7"
50224978,"FI","FI1","FI1D","FI1D7"
50225104,"FI","FI1","FI1D","FI1D7"
50241908,"IT","ITF","ITF4","ITF45"
50241926,"IT","ITF","ITF4","ITF45"
50241938,"IT","ITF","ITF4","ITF45"
50241952,"IT","ITF","ITF4","ITF45"
50242604,"HU","HU3","HU33","HU331"
50242658,"HU","HU3","HU33","HU331"
50242736,"HU","HU1","HU12","HU120"
50243144,"PL","PL7","PL72","PL722"
50243176,"PL","PL7","PL71","PL713"
50243186,"PL","PL7","PL71","PL713"
50243204,"PL","PL7","PL71","PL713"
50243222,"PL","PL7","PL71","PL713"
50243320,"PL","PL9","PL92","PL922"
50243486,"PL","PL6","PL62","PL622"
50243682,"LT","LT0","LT02","LT023"
50243722,"LT","LT0","LT02","LT023"
50243736,"LT","LT0","LT02","LT023"
50243812,"LV","LV0","LV00","LV003"
50244248,"FI","FI1","FI1C","FI1C1"
50244278,"FI","FI1","FI1C","FI1C1"
50244296,"FI","FI1","FI19","FI197"
50244500,"FI","FI1","FI19","FI194"
50244526,"FI","FI1","FI19","FI194"
50244544,"FI","FI1","FI1D","FI1D5"
50244572,"FI","FI1","FI1D","FI1D5"
50262740,"HU","HU1","HU12","HU120"
50262830,"SK","SK0","SK03","SK032"
50263028,"PL","PL2","PL21","PL214"
50263690,"LT","LT0","LT02","LT023"
50263702,"LT","LT0","LT02","LT023"
50263708,"LT","LT0","LT02","LT023"
50263720,"LT","LT0","LT02","LT023"
50263798,"LV","LV0","LV00","LV003"
50263838,"LV","LV0","LV00","LV003"
50264180,"FI","FI1","FI1C","FI1C1"
50264234,"FI","FI1","FI1C","FI1C1"
50264288,"FI","FI1","FI19","FI197"
50264450,"FI","FI1","FI19","FI194"
50265008,"FI","FI1","FI1D","FI1D7"
50265206,"FI","FI1","FI1D","FI1D7"
50282626,"HU","HU3","HU33","HU331"
50282640,"HU","HU3","HU33","HU331"
50282676,"HU","HU3","HU33","HU331"
50282690,"HU","HU3","HU33","HU331"
50282716,"HU","HU1","HU12","HU120"
50282744,"HU","HU1","HU12","HU120"
50282856,"SK","SK0","SK03","SK032"
50282928,"SK","SK0","SK03","SK031"
50283108,"PL","PL7","PL72","PL722"
50283112,"PL","PL7","PL72","PL722"
50283220,"PL","PL7","PL71","PL713"
50283482,"PL","PL6","PL62","PL622"
50283518,"PL","PL6","PL62","PL622"
50283700,"LT","LT0","LT02","LT023"
50284206,"FI","FI1","FI1C","FI1C1"
