"POINTID","Revisited_point","Coarse","Clay","Sand","Silt","Soil_Stones","Elevation","pH_CaCl2","pH_H20","EC","OC","CaCO3","P","N","K","LC","LU","NUTS_0","NUTS_1","NUTS_2","NUTS_3"
42062452,"Yes",NA,NA,NA,NA,1,141,6.3,6.45,25,10.8,0,27,1.5,77.6,"B17","U111","IT","ITC","ITC1","ITC18"
42062512,"Yes",13,11,40,49,1,136,3.9,4.13,48.7,62.5,1,30.2,5,120.9,"C10","U120","IT","ITC","ITC1","ITC15"
42062826,"Yes",NA,NA,NA,NA,1,126,5.1,5.42,37.4,30.4,1,37.5,3.9,138.2,"E20","U111","DE","DE1","DE12","DE12C"
42062920,"Yes",NA,NA,NA,NA,1,148,6.3,6.64,9.01,4.7,1,104.3,0.6,103.3,"B23","U111","DE","DEB","DEB3","DEB3I"
42062956,"Yes",NA,NA,NA,NA,1,163,7.6,7.79,30.3,23.4,88,29.3,2.7,243.9,"B41","U111","DE","DE7","DE71","DE715"
42063100,"Yes",NA,NA,NA,NA,1,153,4.9,5.2,8.1,33.5,0,51.1,3.6,105.8,"E20","U111","DE","DEA","DEA5","DEA5A"
42063160,"Yes",20,34,10,57,1,257,5.8,6.14,12.45,16.9,1,36.7,1.8,116.9,"B13","U111","DE","DEA","DEA5","DEA5B"
42063196,"Yes",NA,NA,NA,NA,1,203,5.3,5.92,25.4,18.3,1,136.5,1.7,426.3,"B55","U111","DE","DEA","DEA4","DEA42"
42063358,"Yes",NA,NA,NA,NA,1,179,5.6,5.79,27.2,64.4,1,135.8,7.3,627.5,"E20","U111","DE","DE9","DE94","DE94G"
42081806,"Yes",72,18,53,30,1,173,6.1,6.22,7,20.9,1,6.7,2.1,128.3,"E20","U111","IT","ITG","ITG2","ITG2C"
42081910,"Yes",NA,NA,NA,NA,1,214,4.7,4.96,82,76.9,0,17,7.9,481,"E20","U111","IT","ITG","ITG2","ITG26"
42081954,"Yes",1,20,37,43,1,272,6.3,6.62,15.78,27.4,2,112.6,2.8,1182.9,"D10","U420","IT","ITG","ITG2","ITG25"
42081964,"Yes",NA,NA,NA,NA,1,257,5.3,5.61,42.5,22.4,1,10.1,2.6,371.9,"D20","U111","IT","ITG","ITG2","ITG25"
